signal_date,vix_level,spy_return,spy_trend_3d,spy_trend_5d,spy_vol_5d,spy_vol_10d,trend_strength,shock_day,vix_mom_3d,vix_pctile_est
2025-06-05,18.479999542236328,-0.0048328721496471,0.0002004595175784,,,,,0,,0.6752136752136753
2025-06-06,16.770000457763672,0.0102690839561554,0.0017225893232789,,,,,0,,0.4423076923076923
2025-06-09,17.15999984741211,0.0009011797562012,0.0021124638542365,,,,,0,,0.5021367521367521
2025-06-10,16.950000762939453,0.0056697676151933,0.00561334377585,,,,,0,-0.5099995930989584,0.48717948717948717
2025-06-11,17.260000228881836,-0.0028521190306726,0.0012396094469073,0.00183100802944604,0.006187502711561625,,0.20034050913399148,0,0.16333325703938803,0.5384615384615384
2025-06-12,18.020000457763672,0.0039743291638498,0.0022639925827901,0.0035924482921454197,0.004945046174478782,,0.45782949736232853,0,0.2866668701171875,0.6474358974358975
2025-06-13,20.81999969482422,-0.0111800643964674,-0.0033526180877634,-0.0006973813783791403,0.006697954930529943,,-0.5005427950931569,1,1.2899996439615886,0.8397435897435898
2025-06-16,19.11000061035156,0.0095142998871504,0.0007695215515109,0.0010252426478106998,0.008159906094670839,,0.09430508139825935,0,0.616666793823241,0.7307692307692307
2025-06-17,21.600000381469727,-0.0085452365289757,-0.0034036670127642,-0.0018177581810230998,0.008601532724350623,,-0.39570425002116827,0,1.1933333079020183,0.8632478632478633
2025-06-18,20.13999938964844,-0.0001506357697342,0.0002728091961468,-0.00127746152883542,0.00860516201528778,0.007253294040538813,0.03170293349884611,0,-0.2266667683919259,0.7905982905982906
2025-06-20,20.6200008392334,-0.002348536060589,-0.0036814694530996,-0.00254203457372318,0.008089583170363587,0.007099757822402714,-0.4550870946868811,0,0.5033334096272798,0.8205128205128205
2025-06-23,19.82999992370605,0.0098774805044956,0.0024594362247241,0.0016694744064694202,0.007948430341727694,0.0070408774418510974,0.30942375094803953,0,-0.5900001525878918,0.7713675213675214
2025-06-24,17.479999542236328,0.0110473115555598,0.0061920853331554,0.0019760767401513003,0.008346297044297726,0.007797714629441757,0.7418952238745985,0,-0.8866666158040376,0.5790598290598291
2025-06-25,16.760000228881836,0.000560263131947,0.0071616850640008,0.0037971766723358404,0.0061920749320738145,0.007660369603852377,1.1565870207794862,0,-1.2866668701171875,0.4358974358974359
2025-06-26,16.59000015258789,0.0078237798744873,0.0064771181873313,0.005392059801180141,0.005943004651565573,0.0078079642909614205,1.089870809190253,0,-1.0799999237060536,0.38247863247863245
2025-06-27,16.31999969482422,0.0049684323619594,0.0044508251227979,0.006855453485689819,0.004208094809020742,0.007841340770661703,1.0576792463098468,0,-0.38666661580403644,0.29914529914529914
2025-06-30,16.729999542236328,0.0047812055897382,0.0058578059420616,0.00583619850273834,0.0038989646419575197,0.006297458525664669,1.5023965221586129,0,-0.010000228881835938,0.4230769230769231
2025-07-01,16.829999923706055,-0.0003236793082248,0.0031419862144909,0.00356200032998142,0.0033814275782868323,0.0060614152303947785,0.9291865195638929,0,0.07999992370605469,0.452991452991453
2025-07-02,16.639999389648438,0.0045332765158159,0.0029969342657764,0.004356603006755199,0.0029373539973171587,0.004578473258861552,1.0202801792742233,0,0.10666656494140625,0.3995726495726496
2025-07-03,16.3799991607666,0.0078813859548749,0.004030327720822,0.00436812422283272,0.0029544165976271726,0.004457361414994976,1.3641657992312046,0,-0.11666679382324219,0.33760683760683763
