window_start,window_end,return_metric,section,predicted_tier_cal,filteredtier,optionType,filter_stage,n_trades,wins,losses,breakeven,win_rate,avg_pnl,median_pnl,avg_return_pct,median_return_pct,worst_drawdown_proxy,profit_factor,tradeable_coverage,avg_win_pnl,median_win_pnl,avg_loss_pnl_abs,median_loss_pnl_abs,win_loss_ratio,avg_win_return_pct,median_win_return_pct,avg_loss_return_pct_abs,median_loss_return_pct_abs,p25_win_return_pct,p75_win_return_pct,p25_loss_return_pct_abs,p75_loss_return_pct_abs
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S2_filter_uplift,B,A_prime,call,all_filters,666,458.0,183.0,25.0,0.6876876876876877,1477.2537537537537,554.5,98.48358358358362,36.96666666666667,-43.45,15.245290668211105,1.0,2298.943231441048,2509.5,377.40437158469945,310.0,6.091458935114917,153.26288209606994,167.3,25.160291438979968,20.666666666666668,33.36666666666666,249.61666666666667,8.966666666666667,40.3
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S2_filter_uplift,B,Dropped,call,all_filters,505,172.0,280.0,53.0,0.3405940594059406,132.3009900990099,-75.0,8.820066006600657,-5.0,-76.78666666666666,1.3972908205436199,1.0,1366.1686046511627,426.5,600.6035714285714,594.0,2.274659475303567,91.07790697674417,28.433333333333337,40.040238095238095,39.599999999999994,8.05,87.03333333333333,19.733333333333334,55.8
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S2_filter_uplift,B,A_prime,call,baseline,372,244.0,117.0,11.0,0.6559139784946236,787.5645161290323,472.5,75.03924731182795,40.5,-74.41999999999999,7.543395720730781,0.0,1384.2131147540983,1213.5,382.6837606837607,320.0,3.6171200792028744,133.33633879781422,106.66666666666667,39.482621082621094,26.866666666666667,43.16666666666667,195.31666666666666,13.333333333333334,57.46666666666667
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S2_filter_uplift,B,Dropped,call,baseline,1602,622.0,922.0,58.0,0.3882646691635456,51.92821473158552,-76.5,396.9324187022086,-10.933333333333334,-3923.9699703287724,1.2162989272026667,0.0,752.0755627009646,505.0,417.13882863340564,327.5,1.8029382811589367,2205.785405733502,96.76666666666668,798.3869713723427,47.56666666666666,24.0,301.01666666666665,21.81666666666667,119.95
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S2_filter_uplift,B,A_prime,call,momentum_only,1195,743.0,392.0,60.0,0.6217573221757322,668.5188284518829,233.0,58.83391910739191,19.333333333333332,-62.66666666666667,6.363662609186065,0.2393305439330544,1275.6702557200538,905.0,379.9566326530612,292.5,3.3574101518182196,113.07052489905784,82.66666666666667,34.96139455782313,27.333333333333332,27.333333333333332,163.13333333333333,11.866666666666665,50.96666666666666
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S2_filter_uplift,B,Dropped,call,momentum_only,3997,1912.0,1906.0,179.0,0.47835876907680763,227.0245183887916,0.0,566.5007341111367,0.0,-2361.388923186676,2.2974146559070294,0.16087065298974232,840.3875523012553,480.0,366.9485834207765,281.0,2.290205195689748,1800.5135227613373,82.86666666666667,618.1943448465184,37.733333333333334,24.9,305.5,17.866666666666667,81.79999999999998
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S2_filter_uplift,B,A_prime,call,momentum_plus_valuation,1472,898.0,478.0,96.0,0.6100543478260869,956.0448369565217,217.0,75.67105978260876,16.566666666666663,-63.42333333333333,7.009317380202061,0.6841032608695652,1827.9331848552338,1402.0,489.92887029288704,374.0,3.731017491911565,143.2942835931701,100.66666666666667,36.172524407252446,29.1,25.599999999999998,225.45,12.416666666666668,51.883333333333326
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S2_filter_uplift,B,Dropped,call,momentum_plus_valuation,2832,1331.0,1314.0,187.0,0.4699858757062147,277.02648305084745,0.0,253.52564689754703,0.0,-142.3333333333333,2.1185329341317365,0.711864406779661,1116.4079639368895,687.0,533.7899543378995,440.0,2.091474286588356,900.0307030478698,59.0,365.26349599913397,40.0,18.53333333333333,146.46666666666667,17.333333333333336,68.65
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S3_filteredtier_diag,A,A,call,no_extra_filters,1899,1235.0,636.0,28.0,0.6503422854133755,1053.4676145339652,482.0,81.66757942776898,39.46666666666667,-70.18666666666667,6.93018188932497,0.5339652448657188,1893.0226720647772,1679.0,530.4213836477987,430.0,3.5689033859195796,147.25165991902827,128.13333333333335,42.089727463312364,36.36666666666667,45.63333333333333,225.7,18.28333333333333,56.71666666666667
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S3_filteredtier_diag,A,Dropped,call,no_extra_filters,8438,3758.0,4548.0,132.0,0.4453662005214506,223.04361223038634,-65.0,372.03120189454216,-7.666666666666666,-1511.1244916492283,1.8013173328905323,0.342853756814411,1125.7921766897286,735.0,516.4215039577837,434.5,2.179987022348627,1428.3271593360773,90.46666666666667,489.98552840783566,46.666666666666664,33.64088191330344,226.23333333333332,25.43333333333333,81.33333333333333
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S3_filteredtier_diag,B,A_prime,call,no_extra_filters,3705,2343.0,1170.0,192.0,0.6323886639676113,940.0817813765182,290.0,74.2777327935223,21.866666666666667,-60.44,8.008505577823925,0.5287449392712551,1698.664532650448,1244.0,424.75897435897434,332.5,3.9991257046751993,134.62148242993308,100.4,34.375327635327636,26.866666666666667,29.266666666666666,208.66666666666666,11.416666666666668,49.333333333333336
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S3_filteredtier_diag,B,Dropped,call,no_extra_filters,8936,4037.0,4422.0,477.0,0.4517681289167413,206.12768576544315,0.0,405.39703831136273,0.0,-1798.7923060471585,1.9428647479620695,0.3540734109221128,940.1862769383206,535.0,441.78539122568975,339.0,2.1281515767867902,1493.23424415225,71.86666666666667,543.9978989806177,40.13333333333333,20.8,215.33333333333334,18.666666666666668,77.81666666666666
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S4_optiontype_final,A,A,call,all_filters,433,352.0,79.0,2.0,0.812933025404157,1938.2240184757507,2295.0,129.21493456505004,153.0,-40.519999999999996,26.6635985566632,1.0,2477.1392045454545,2745.0,413.9493670886076,388.0,5.984159903342025,165.1426136363636,183.0,27.59662447257385,25.866666666666667,50.116666666666674,254.56666666666666,13.033333333333331,42.8
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S4_optiontype_final,A,Dropped,call,all_filters,423,194.0,218.0,11.0,0.458628841607565,298.9527186761229,-35.0,19.93018124507486,-2.3333333333333335,-95.56666666666666,1.682087628170898,1.0,1607.4948453608247,967.5,850.4449541284404,590.5,1.8901809429961638,107.16632302405496,64.5,56.69633027522934,39.36666666666666,18.116666666666667,143.1,26.68333333333333,59.96666666666667
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S4_optiontype_final,B,A_prime,call,all_filters,666,458.0,183.0,25.0,0.6876876876876877,1477.2537537537537,554.5,98.48358358358365,36.96666666666667,-43.45,15.245290668211105,1.0,2298.943231441048,2509.5,377.40437158469945,310.0,6.091458935114917,153.26288209606992,167.3,25.160291438979957,20.666666666666668,33.36666666666666,249.61666666666667,8.966666666666667,40.3
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S4_optiontype_final,B,Dropped,call,all_filters,505,172.0,280.0,53.0,0.3405940594059406,132.3009900990099,-75.0,8.82006600660066,-5.0,-76.78666666666666,1.3972908205436199,1.0,1366.1686046511627,426.5,600.6035714285714,594.0,2.274659475303567,91.07790697674419,28.433333333333337,40.040238095238095,39.599999999999994,8.05,87.03333333333333,19.733333333333334,55.8
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S5_final_plus_quant,A,A,call,all_filters_plus_quant,413,351.0,61.0,1.0,0.8498789346246973,2057.864406779661,2392.0,137.19096045197742,159.46666666666667,-26.666666666666668,39.88269741055906,1.0,2483.6353276353275,2750.0,358.327868852459,328.0,6.93118103146468,165.5756885090218,183.33333333333331,23.88852459016394,21.866666666666667,50.7,254.60000000000002,10.0,35.13333333333333
2026-03-17 00:00:00,2026-04-30 00:00:00,coalesce_pnlpct_or_pnl_over_risk,S5_final_plus_quant,A,Dropped,call,all_filters_plus_quant,290,160.0,121.0,9.0,0.5517241379310345,595.6241379310345,107.5,39.70827586206896,7.166666666666667,-135.85,2.3962235173344757,1.0,1852.775,1525.0,1022.4214876033058,600.0,1.8121440349841975,123.51833333333335,101.66666666666667,68.16143250688702,40.0,21.0,173.53333333333333,27.133333333333333,60.333333333333336
